Fecha;cod_ine;CCAA;Total Pacientes COVID ingresados;% Camas Ocupadas COVID;Total pacientes COVID en UCI;% Camas Ocupadas UCI COVID;Ingresos COVID últimas 24 h;Altas COVID últimas 24 h
2020-08-19;1;Andalucía;322,0;2,20;40,0;;88,0;40,0
2020-08-19;2;Aragón;512,0;13,40;60,0;;57,0;46,0
2020-08-19;3;Asturias;20,0;0,70;3,0;;6,0;2,0
2020-08-19;4;Baleares;159,0;5,30;24,0;;32,0;13,0
2020-08-19;5;Canarias;103,0;2,20;13,0;;17,0;2,0
2020-08-19;6;Cantabria;31,0;2,00;4,0;;6,0;0,0
2020-08-19;8;Castilla La Mancha;122,0;2,70;11,0;;20,0;9,0
2020-08-19;7;Castilla y León;197,0;3,90;11,0;;35,0;16,0
2020-08-19;9;Cataluña;978,0;4,30;136,0;;107,0;113,0
2020-08-19;18;Ceuta;0,0;0,00;0,0;;0,0;0,0
2020-08-19;10;C. Valenciana;347,0;3,20;35,0;;65,0;29,0
2020-08-19;11;Extremadura;42,0;1,60;6,0;;9,0;3,0
2020-08-19;12;Galicia;86,0;1,10;7,0;;16,0;5,0
2020-08-19;13;Madrid;1245,0;9,50;126,0;;226,0;133,0
2020-08-19;19;Melilla;6,0;3,40;0,0;;0,0;0,0
2020-08-19;14;Murcia;68,0;3,20;11,0;;8,0;3,0
2020-08-19;15;Navarra;52,0;3,50;6,0;;5,0;8,0
2020-08-19;16;País Vasco;333,0;8,30;27,0;;57,0;46,0
2020-08-19;17;La Rioja;13,0;1,70;2,0;;4,0;0,0
2020-08-19;0;España;4636,0;4,30;522,0;;758,0;468,0
2020-08-20;1;Andalucía;315,0;2,10;37,0;;63,0;71,0
2020-08-20;2;Aragón;540,0;13,60;60,0;;70,0;54,0
2020-08-20;3;Asturias;21,0;0,70;3,0;;8,0;1,0
2020-08-20;4;Baleares;165,0;5,60;25,0;;30,0;21,0
2020-08-20;5;Canarias;96,0;2,00;13,0;;15,0;6,0
2020-08-20;6;Cantabria;35,0;2,20;4,0;;7,0;2,0
2020-08-20;8;Castilla La Mancha;130,0;2,90;10,0;;23,0;15,0
2020-08-20;7;Castilla y León;210,0;4,00;17,0;;41,0;25,0
2020-08-20;9;Cataluña;911,0;4,20;121,0;;85,0;168,0
2020-08-20;18;Ceuta;0,0;0;0,0;;0,0;0,0
2020-08-20;10;C. Valenciana;339,0;3,00;37,0;;63,0;45,0
2020-08-20;11;Extremadura;37,0;1,20;7,0;;6,0;1,0
2020-08-20;12;Galicia;87,0;1,10;7,0;;23,0;15,0
2020-08-20;13;Madrid;1297,0;9,80;137,0;;217,0;152,0
2020-08-20;19;Melilla;7,0;4,00;0,0;;1,0;0,0
2020-08-20;14;Murcia;109,0;3,60;22,0;;27,0;12,0
2020-08-20;15;Navarra;56,0;3,20;8,0;;14,0;9,0
2020-08-20;16;País Vasco;330,0;9,10;30,0;;67,0;61,0
2020-08-20;17;La Rioja;18,0;2,30;3,0;;5,0;0,0
2020-08-20;0;España;4703,0;4,40;541,0;;765,0;658,0
2020-08-21;1;Andalucía;369,0;2,40;42,0;;62,0;25,0
2020-08-21;2;Aragón;537,0;13,70;64,0;;34,0;26,0
2020-08-21;3;Asturias;16,0;0,50;3,0;;6,0;2,0
2020-08-21;4;Baleares;228,0;7,50;33,0;;40,0;10,0
2020-08-21;5;Canarias;134,0;2,80;22,0;;15,0;1,0
2020-08-21;6;Cantabria;37,0;2,40;2,0;;7,0;2,0
2020-08-21;8;Castilla La Mancha;177,0;4,00;16,0;;24,0;2,0
2020-08-21;7;Castilla y León;248,0;4,70;18,0;;31,0;9,0
2020-08-21;9;Cataluña;1011,0;4,60;151,0;;86,0;49,0
2020-08-21;18;Ceuta;1,0;0,60;0,0;;0,0;0,0
2020-08-21;10;C. Valenciana;403,0;3,70;46,0;;68,0;16,0
2020-08-21;11;Extremadura;40,0;1,50;6,0;;4,0;0,0
2020-08-21;12;Galicia;83,0;1,10;10,0;;16,0;2,0
2020-08-21;13;Madrid;1544,0;12,00;165,0;;192,0;54,0
2020-08-21;19;Melilla;8,0;4,50;0,0;;1,0;0,0
2020-08-21;14;Murcia;157,0;5,20;31,0;;59,0;10,0
2020-08-21;15;Navarra;54,0;3,30;9,0;;10,0;3,0
2020-08-21;16;País Vasco;404,0;10,00;37,0;;41,0;13,0
2020-08-21;17;La Rioja;33,0;4,60;3,0;;9,0;0,0
2020-08-21;0;España;5484,0;5,10;658,0;;705,0;224,0
2020-08-24;1;Andalucía;403,0;2,60;43,0;;70,0;33,0
2020-08-24;2;Aragón;523,0;13,10;68,0;;60,0;57,0
2020-08-24;3;Asturias;19,0;0,60;2,0;;6,0;2,0
2020-08-24;4;Baleares;238,0;8,60;35,0;;41,0;20,0
2020-08-24;5;Canarias;151,0;3,10;23,0;;28,0;13,0
2020-08-24;6;Cantabria;40,0;2,60;1,0;;10,0;5,0
